date,deaths_covid
2020-04-01,10.234706395709868
2020-05-01,1.7773513640364946
2020-06-01,-13.049648067405764
2020-07-01,-0.7231650162046304
2020-08-01,5.009111642175265
2020-09-01,-7.433879982794644
2020-10-01,0.6028315426489144
2020-11-01,4.040842170243562
2020-12-01,5.2078350299400515
2021-01-01,0.8478448248927517
2021-02-01,-6.423428465089371
2021-03-01,-4.307690787332676
2021-04-01,-0.2860829510127476
2021-05-01,-0.7177903909561767
2021-06-01,-1.1644392189146193
2021-07-01,0.23601290102024897
2021-08-01,5.054292346804081
2021-09-01,3.9225014785485115
2021-10-01,-3.1220935633193063
2021-11-01,-1.627775552702781
2021-12-01,3.0748630896807247
2022-01-01,4.802104545810204
2022-02-01,-5.2425703686885115
2022-03-01,-6.06882316221019
2022-04-01,-1.2276073822752491
2022-05-01,0.24719500901147762
2022-06-01,0.61096943191698
2022-07-01,0.03655884552214772
2022-08-01,0.33171112534142866
2022-09-01,-0.5495434315997842
2022-10-01,0.013605515617899133
2022-11-01,-0.2920225029651806
